               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.035013,            0.013658,                   0,             0.87213,             0.85344,             0.96571,             0.46121,            0.040528,           0.0073985,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.036853,            0.011881,                   0,             0.94053,                   1,               0.995,             0.57013,            0.035861,           0.0074998,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.037022,            0.015133,                   0,                   1,             0.55169,             0.71427,             0.51195,            0.037773,            0.007318,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.043585,            0.011109,                   0,             0.54685,              0.6875,             0.77863,             0.57618,            0.031003,           0.0071327,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.035124,            0.011849,                   0,              0.9674,                0.75,             0.95393,             0.50646,            0.034505,           0.0068969,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.040184,             0.01256,                   0,             0.96359,                0.75,             0.91438,             0.63207,            0.031443,           0.0066866,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.034629,            0.014753,                   0,             0.96888,                   1,               0.995,              0.6673,            0.026898,           0.0066458,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.032264,            0.011888,                   0,             0.96261,                   1,               0.995,             0.74263,            0.023372,           0.0064151,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.030105,            0.013286,                   0,             0.98243,                   1,               0.995,              0.6157,             0.02911,           0.0062299,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.028279,            0.011241,                   0,                   1,             0.67403,              0.9276,             0.56141,            0.033588,            0.005927,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.035813,            0.012727,                   0,             0.98041,                   1,               0.995,             0.63661,            0.030106,           0.0055585,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.033408,            0.011197,                   0,             0.91672,                   1,             0.98029,             0.80033,            0.022154,           0.0056148,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026744,            0.014022,                   0,             0.91645,                   1,             0.98029,              0.6704,            0.036625,           0.0051436,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.039706,             0.01024,                   0,             0.98436,                   1,               0.995,             0.83851,            0.022468,           0.0052657,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.028387,            0.011368,                   0,              0.9878,                   1,               0.995,             0.57844,            0.025543,           0.0050883,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.029606,           0.0097871,                   0,             0.92228,                   1,             0.98029,             0.67769,            0.027952,           0.0049309,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02992,            0.010404,                   0,             0.99124,                   1,               0.995,             0.75018,            0.021647,           0.0047713,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025387,           0.0090174,                   0,             0.98765,                   1,               0.995,             0.75545,            0.023783,           0.0046763,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.024251,           0.0084621,                   0,             0.98989,                   1,               0.995,             0.68462,            0.024861,           0.0045298,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.028319,            0.010588,                   0,             0.99114,                   1,               0.995,             0.82262,            0.018938,           0.0043771,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025208,             0.01035,                   0,             0.97744,                   1,               0.995,              0.7934,            0.023831,            0.004208,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.028381,           0.0090239,                   0,             0.98277,                   1,               0.995,             0.63395,            0.026876,           0.0041264,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.026345,           0.0083365,                   0,             0.99236,                   1,               0.995,             0.78453,            0.017257,           0.0041155,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021793,           0.0085249,                   0,             0.99734,                   1,               0.995,             0.71593,            0.021584,           0.0040238,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024464,           0.0093906,                   0,             0.99444,                   1,               0.995,             0.83417,            0.018733,           0.0039795,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024758,           0.0093587,                   0,             0.99465,                   1,               0.995,             0.78621,             0.01847,           0.0039238,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02265,            0.010395,                   0,             0.99464,                   1,               0.995,              0.7858,            0.019011,           0.0038627,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.023926,            0.008338,                   0,             0.99452,                   1,               0.995,             0.86958,            0.017571,           0.0037614,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.019374,           0.0092401,                   0,             0.99462,                   1,               0.995,              0.7684,            0.018088,           0.0037522,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022408,           0.0088319,                   0,             0.99453,                   1,               0.995,                 0.9,            0.015487,           0.0036563,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019037,             0.01133,                   0,             0.99471,                   1,               0.995,             0.76409,            0.015893,           0.0036228,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023556,           0.0094799,                   0,             0.99461,                   1,               0.995,             0.87358,            0.019577,           0.0035035,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021182,           0.0079339,                   0,             0.99476,                   1,               0.995,             0.74197,            0.020486,           0.0034349,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023435,           0.0079464,                   0,              0.9947,                   1,               0.995,             0.85789,            0.016014,           0.0034323,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.018548,           0.0076465,                   0,             0.99459,                   1,               0.995,             0.83134,            0.015451,           0.0033924,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.02019,           0.0075479,                   0,             0.99451,                   1,               0.995,             0.85749,            0.014959,           0.0033125,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018986,           0.0078423,                   0,             0.99469,                   1,               0.995,             0.85289,            0.013774,            0.003302,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.017113,           0.0078179,                   0,             0.99473,                   1,               0.995,             0.76551,            0.015234,           0.0032473,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020695,           0.0067799,                   0,             0.99471,                   1,               0.995,              0.8917,             0.01526,           0.0031944,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019978,           0.0071054,                   0,             0.99473,                   1,               0.995,               0.787,            0.014619,           0.0031772,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.017842,           0.0059874,                   0,             0.99476,                   1,               0.995,             0.90472,            0.013437,           0.0031028,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017201,           0.0069376,                   0,             0.99472,                   1,               0.995,             0.84686,             0.01279,           0.0031141,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.016788,           0.0058008,                   0,             0.99459,                   1,               0.995,             0.88029,            0.014972,           0.0031031,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015874,           0.0071243,                   0,             0.99446,                   1,               0.995,             0.92071,           0.0091831,           0.0029756,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015159,           0.0075426,                   0,              0.9944,                   1,               0.995,             0.86133,            0.013129,           0.0030606,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017136,           0.0072398,                   0,              0.9946,                   1,               0.995,             0.92562,           0.0091474,           0.0029057,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01343,           0.0055341,                   0,             0.99462,                   1,               0.995,             0.91258,            0.011228,           0.0029155,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.013975,           0.0065328,                   0,             0.99487,                   1,               0.995,             0.92556,           0.0092959,           0.0028642,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.012742,           0.0058694,                   0,             0.99492,                   1,               0.995,             0.93138,           0.0093163,           0.0028206,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01169,           0.0064576,                   0,             0.99504,                   1,               0.995,             0.90633,           0.0092404,           0.0028064,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.013735,           0.0060095,                   0,             0.99501,                   1,               0.995,              0.9178,           0.0099023,           0.0028329,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.012484,           0.0068896,                   0,             0.99522,                   1,               0.995,             0.92001,           0.0083562,           0.0027539,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.011003,           0.0054221,                   0,             0.99528,                   1,               0.995,             0.92661,           0.0077388,           0.0027176,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.010993,            0.006369,                   0,             0.99538,                   1,               0.995,             0.91942,           0.0083092,           0.0027127,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01151,           0.0075309,                   0,             0.99544,                   1,               0.995,             0.93009,           0.0076271,           0.0026809,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.011007,           0.0060243,                   0,             0.99548,                   1,               0.995,             0.93898,           0.0071895,           0.0026538,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.010849,            0.006723,                   0,             0.99551,                   1,               0.995,             0.94008,           0.0070659,           0.0026394,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.01053,           0.0059677,                   0,             0.99556,                   1,               0.995,             0.95673,           0.0069154,           0.0026232,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.010668,           0.0076402,                   0,             0.99559,                   1,               0.995,             0.95149,           0.0068978,           0.0026108,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0098921,           0.0056389,                   0,             0.99556,                   1,               0.995,             0.95996,           0.0069028,           0.0026017,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.010145,           0.0061221,                   0,             0.99562,                   1,               0.995,             0.95995,           0.0067981,           0.0025969,                   0,            0.000298,            0.000298,            0.000298
